Name,Origin,Starting Affiliation,End of S1,End of S2,End of S3,End of S4,End of S5,End of S6,End of S7,Episodes
Harald Karstark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros",King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,3
Giant Wight #2,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,3
Leaf,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,4
Bobono,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Razdal mo Eraz,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Deceased,Deceased,3
Lhara,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Clarenzo,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Thenn Warg,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,Deceased,3
Mirri Maz Duur,Essos,Other Dothraki,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,3
Polliver,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,3
Alton Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,3
Khal Moro,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Deceased,Deceased,3
Kraznys mo Nakloz,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Deceased,Deceased,Deceased,Deceased,Deceased,3
Mossador,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos",Daenerys Targaryen,Deceased,Deceased,Deceased,3
White Walker,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,3
Rattleshirt,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,3
Vala,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,"Other, Essos","Other, Essos",3
Daisy,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",3
Bathhouse Prostitute,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Silk King,Essos,Qarth,Qarth,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,3
Dothraki Bloodrider #1,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,3
Musician #1,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,3
Dothraki Bloodrider #2,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,3
Musician #2,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,3
Musician #3,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,3
Musician #4,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,3
Loyal Night's Watchman #2,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,3
Musician #5,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,3
King's Landing Whore,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",3
Dothraki Woman Having Sex,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,3
Alys Karstark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros",King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",3
Aggo,Essos,Khal Drogo,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,3
Frances,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",3
Hallyne,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,2
Illyrio Mopatis,Essos,Viserys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,2
Lem Lemoncloak,Westeros,"Other, Westeros",Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Deceased,Deceased,2
Smalljon Umber,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Roose Bolton, Lord Paramount of the North",Deceased,Deceased,2
Mord,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",2
Aeron Greyjoy,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Euron Greyjoy, King of the Iron Islands",Queen Cersei Lannister,2
Dim Dalba,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",2
Belicho Paenymion,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Deceased,Deceased,2
Gatins,Westeros,"Other, Westeros",Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Deceased,Deceased,2
Old Nan,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
The Night King,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,2
Morgan,Westeros,"Other, Westeros",Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Deceased,Deceased,4
Malko,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,"Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Thin Man,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Bianca,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Vardis Egen,House Arryn,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Shagga,Westeros,"Other, Westeros",King Joffrey Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Quaithe,Essos,Qarth,Qarth,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Margaery Tyrell Mummer,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Hugh of the Vale,House Arryn,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Morag,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros",2
Todder,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,2
Johnna,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",2
Willa,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",2
Lady Kitty Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,2
Lyanna Stark,House Stark,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Farlen,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Donnel Waynwood,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",2
Drennan,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Ned Umber,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros",King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",2
Sissy,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Other, Westeros","Other, Westeros","Other, Westeros",2
Dosh khaleen High Priestess,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,2
Zanrush,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",Daenerys Targaryen,Daenerys Targaryen,2
Ornela,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,2
Kurleket,House Tully,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Winterfell Shepherd,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
The Tickler,House Lannister,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Ghita,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",Deceased,Deceased,Deceased,2
Greizhen mo Ullhor,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Deceased,Deceased,Deceased,Deceased,Deceased,2
Mole's Town Whore,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,2
Jacks,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",2
Ternesio Terys,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Moro's Wife #2,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,2
Master Torturer,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,2
Great Master #1,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,2
Mhaegen,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Mole's Town Madam,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,2
Quent,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,2
Dothraki Widow #1,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,2
Mummer #2,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Kayla,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Mummer #3,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Tobho Mott,Essos,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Mummer #4,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",2
Night's Watchman #1,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,2
Dothraki Widow #2,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,2
Willem Lannister,House Lannister,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,2
Baratheon Soldier #2,House Baratheon,King Robert Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,2
Loyal Night's Watchman #1,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,2
Night's Watchman #2,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,2
Night's Watchman,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,2
Male Prostitute,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Arthur,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Little Bird #4,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Little Bird #3,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Little Bird #6,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Little Bird #5,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Little Bird #7,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",2
Joyeuse Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,2
Tommy,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Leo Lefford,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,2
Willis Wode,House Tully,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Ironborn #2,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Euron Greyjoy, King of the Iron Islands",Queen Cersei Lannister,2
Brother Ray,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,1
Karsi,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,1
Dying Man,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,1
Loboda,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,1
Imry Florent,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,1
Captain of the Bolton Archers,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Koner,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",1
Mandon Moore,House Arryn,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Bolton General,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,1
Jhiqui,Essos,Khal Drogo,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,1
Melessa Tarly,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Will,Westeros,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Captain of the Archers,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Mycah,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Jon Arryn,House Arryn,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Mero,Essos,"Other, Essos","Other, Essos","Other, Essos",Deceased,Deceased,Deceased,Deceased,Deceased,1
Waymar Royce,House Arryn,Night's Watch,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Prendahl na Ghezn,Essos,"Other, Essos","Other, Essos","Other, Essos",Deceased,Deceased,Deceased,Deceased,Deceased,1
Catspaw Assassin,House Lannister,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Maester Cressen,Westeros,King Robert Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Citadel Maester,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Citadel Maester,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Roslin Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Anya Waynwood,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",1
Black Armored White Walker,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Essos Slavers,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Bear Island Maester,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",1
Great Master #1,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Joss,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
High Septon,Westeros,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,2
Merry Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,"Other, Westeros",1
Bolton Guard,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,Deceased,Deceased,Deceased,1
Ralf Kenning,House Greyjoy,King Robert Baratheon,"Robb Stark, King in the North","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,1
Pit Announcer,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Varly,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Elder Meereen Slave,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,1
Great Master #2,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
White Walker #2,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Drowned Priest,House Greyjoy,King Robert Baratheon,"Robb Stark, King in the North","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Euron Greyjoy, King of the Iron Islands",Queen Cersei Lannister,1
Theon's Master of Hounds,House Greyjoy,King Robert Baratheon,"Robb Stark, King in the North","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,Deceased,1
Fennesz,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Tansy,Westeros,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,1
Merchant Captain,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Great Master #3,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Talla Tarly,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,1
Ash,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Dothraki Crone,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,1
Jaremy Rykker,House Targaryen,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Wight Wildling Girl,Wildlings,Wildlings,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,1
Captain's Daughter,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Rennick,House Lannister,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Wendel Manderly,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,1
Adrack Humble,House Greyjoy,King Robert Baratheon,"Robb Stark, King in the North","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,1
Morgan's Friend,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",1
Young Braavosi,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",1
Great Master #4,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Lead Dornish Guard,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,Deceased,Deceased,Deceased,1
Moro's Wife #1,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,1
Kesh,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,1
Riddell,Westeros,King Robert Baratheon,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Deceased,Deceased,1
Torrhen Karstark,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
Great Master #5,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,1
Kinvara,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",Daenerys Targaryen,Daenerys Targaryen,1
Steve,Westeros,King Robert Baratheon,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Deceased,Deceased,1
Tomard,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",1
Stiv,Westeros,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,1
